date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
1996-02-01,,,5.03,,4.98,4.88,4.93,5.05,5.24,5.47,5.63,6.11,6.08
1996-02-02,,,4.99,,4.94,4.85,4.9,5.04,5.24,5.49,5.66,6.16,6.15
1996-02-05,,,5.0,,4.98,4.88,4.95,5.09,5.3,5.54,5.7,6.17,6.15
1996-02-06,,,4.98,,4.97,4.87,4.93,5.03,5.28,5.5,5.68,6.15,6.14
1996-02-07,,,4.94,,4.95,4.86,4.92,5.03,5.27,5.51,5.66,6.17,6.15
1996-02-08,,,4.92,,4.93,4.84,4.9,5.01,5.27,5.51,5.66,6.17,6.09
1996-02-09,,,4.93,,4.91,4.82,4.85,4.98,5.25,5.49,5.66,6.17,6.11
1996-02-12,,,4.93,,4.9,4.8,4.83,4.94,5.17,5.42,5.61,6.1,6.05
1996-02-13,,,4.93,,4.86,4.79,4.8,4.89,5.14,5.39,5.58,6.08,6.02
1996-02-14,,,4.94,,4.9,4.8,4.82,4.91,5.17,5.43,5.62,6.13,6.07
1996-02-15,,,4.92,,4.92,4.84,4.87,4.95,5.23,5.5,5.7,6.22,6.16
1996-02-16,,,4.89,,4.9,4.84,4.9,5.01,5.29,5.58,5.76,6.27,6.23
1996-02-20,,,4.99,,5.09,5.09,5.18,5.3,5.53,5.83,6.01,6.45,6.39
1996-02-21,,,4.96,,5.03,5.05,5.16,5.3,5.56,5.81,5.98,6.47,6.39
1996-02-22,,,4.95,,4.98,4.99,5.11,5.23,5.47,5.76,5.92,6.43,6.36
1996-02-23,,,4.97,,4.99,5.02,5.13,5.29,5.53,5.82,5.97,6.5,6.42
1996-02-26,,,4.98,,4.98,5.05,5.18,5.33,5.56,5.85,6.01,6.54,6.45
1996-02-27,,,5.01,,5.02,5.12,5.28,5.41,5.63,5.9,6.06,6.56,6.47
1996-02-28,,,5.01,,5.05,5.22,5.43,5.51,5.73,5.97,6.11,6.58,6.48
1996-02-29,,,5.02,,5.05,5.23,5.44,5.56,5.73,5.99,6.13,6.57,6.48
