date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
1990-06-01,,,7.94,,8.01,8.06,8.33,8.36,8.38,8.47,8.44,,8.43
1990-06-04,,,7.96,,8.03,8.07,8.31,8.36,8.39,8.47,8.44,,8.43
1990-06-05,,,7.96,,8.03,8.09,8.34,8.38,8.42,8.51,8.47,,8.46
1990-06-06,,,7.96,,8.02,8.09,8.34,8.4,8.43,8.51,8.46,,8.44
1990-06-07,,,7.96,,8.01,8.07,8.34,8.38,8.41,8.49,8.46,,8.43
1990-06-08,,,7.96,,8.03,8.07,8.33,8.38,8.42,8.51,8.46,,8.44
1990-06-11,,,7.99,,8.07,8.09,8.36,8.41,8.43,8.52,8.48,,8.45
1990-06-12,,,7.99,,8.05,8.09,8.36,8.42,8.44,8.52,8.48,,8.45
1990-06-13,,,7.93,,7.99,8.02,8.27,8.32,8.35,8.44,8.4,,8.39
1990-06-14,,,7.92,,7.98,8.0,8.24,8.29,8.32,8.41,8.38,,8.36
1990-06-15,,,7.95,,8.04,8.05,8.33,8.37,8.41,8.49,8.46,,8.43
1990-06-18,,,7.93,,8.06,8.11,8.39,8.42,8.45,8.53,8.5,,8.47
1990-06-19,,,8.0,,8.07,8.15,8.41,8.45,8.47,8.55,8.51,,8.48
1990-06-20,,,8.03,,8.07,8.16,8.43,8.46,8.51,8.59,8.55,,8.52
1990-06-21,,,8.03,,8.08,8.14,8.41,8.44,8.48,8.57,8.52,,8.5
1990-06-22,,,8.04,,8.05,8.12,8.4,8.43,8.46,8.55,8.51,,8.49
1990-06-25,,,8.05,,8.09,8.19,8.45,8.48,8.53,8.62,8.58,,8.56
1990-06-26,,,8.07,,8.12,8.19,8.41,8.49,8.51,8.59,8.56,,8.53
1990-06-27,,,8.05,,8.1,8.14,8.37,8.43,8.47,8.56,8.52,,8.49
1990-06-28,,,8.0,,8.03,8.07,8.31,8.37,8.41,8.51,8.47,,8.45
1990-06-29,,,8.0,,8.02,8.05,8.24,8.32,8.35,8.46,8.43,,8.41
